reactor,date,time,vol,conc.h2
G171,9/18/2006,11:12,0,NA
G171,9/18/2006,14:00,0,31.200
G171,9/19/2006,9:26,11.35,35.220
G171,9/19/2006,12:51,0,NA
G171,9/19/2006,16:00,0,NA
G171,9/19/2006,22:52,0,NA
G171,9/20/2006,8:52,0,NA
G171,9/20/2006,13:41,2,30.930
G171,9/21/2006,12:40,0,30.260
G172,9/18/2006,11:12,0,NA
G172,9/18/2006,14:00,0,0.000
G172,9/19/2006,9:26,19.5,7.730
G172,9/19/2006,12:51,14.25,10.720
G172,9/19/2006,16:00,9.1,15.690
G172,9/19/2006,22:52,24.2,21.640
G172,9/20/2006,8:52,17.5,23.530
G172,9/20/2006,13:41,4,26.520
G172,9/21/2006,12:40,4,25.060
G173,9/18/2006,11:12,0,NA
G173,9/18/2006,14:00,0,0.000
G173,9/19/2006,9:26,21.4,8.390
G173,9/19/2006,12:51,16.2,11.890
G173,9/19/2006,16:00,9.9,17.840
G173,9/19/2006,22:52,25.5,24.240
G173,9/20/2006,8:52,17.4,27.200
G173,9/20/2006,13:41,4,26.230
G173,9/21/2006,12:40,0,27.790
G174,9/18/2006,11:12,0,NA
G174,9/18/2006,14:00,0,0.000
G174,9/19/2006,9:26,22.5,7.850
G174,9/19/2006,12:51,17,11.540
G174,9/19/2006,16:00,10.5,18.720
G174,9/19/2006,22:52,26.6,22.380
G174,9/20/2006,8:52,17.1,24.770
G174,9/20/2006,13:41,2,28.460
G174,9/21/2006,12:40,0,27.060
G175,9/18/2006,11:12,0,NA
G175,9/18/2006,14:00,0,0.000
G175,9/19/2006,9:26,21.2,7.380
G175,9/19/2006,12:51,15.3,10.660
G175,9/19/2006,16:00,10.4,11.890
G175,9/19/2006,22:52,23.6,20.970
G175,9/20/2006,8:52,16.8,25.360
G175,9/20/2006,13:41,7,17.010
G175,9/21/2006,12:40,4,25.220
G176,9/18/2006,11:12,0,NA
G176,9/18/2006,14:00,0,0.000
G176,9/19/2006,9:26,20.4,6.570
G176,9/19/2006,12:51,12.7,9.290
G176,9/19/2006,16:00,9.3,13.080
G176,9/19/2006,22:52,21.2,16.820
G176,9/20/2006,8:52,20.7,22.880
G176,9/20/2006,13:41,2.6,22.100
G176,9/21/2006,12:40,NA,NA
G177,9/18/2006,11:12,0,NA
G177,9/18/2006,14:00,0,NA
G177,9/19/2006,9:26,0,NA
G177,9/19/2006,12:51,4.2,NA
G177,9/19/2006,16:00,0,NA
G177,9/19/2006,22:52,0,NA
G177,9/20/2006,8:52,0,NA
G177,9/20/2006,13:41,1.85,NA
G177,9/21/2006,12:40,1.7,NA
G178,9/18/2006,11:12,0,NA
G178,9/18/2006,14:00,0,NA
G178,9/19/2006,9:26,0,NA
G178,9/19/2006,12:51,3.6,NA
G178,9/19/2006,16:00,0,NA
G178,9/19/2006,22:52,0,NA
G178,9/20/2006,8:52,0,NA
G178,9/20/2006,13:41,0,NA
G178,9/21/2006,12:40,2.5,NA
G179,9/18/2006,11:12,0,NA
G179,9/18/2006,14:00,0,NA
G179,9/19/2006,9:26,0,NA
G179,9/19/2006,12:51,3.7,NA
G179,9/19/2006,16:00,0,NA
G179,9/19/2006,22:52,0,NA
G179,9/20/2006,8:52,0,NA
G179,9/20/2006,13:41,2,NA
G179,9/21/2006,12:40,0.8,NA
G180,9/18/2006,11:12,0,NA
G180,9/18/2006,14:00,0,0.000
G180,9/19/2006,9:26,17.8,6.670
G180,9/19/2006,12:51,14.4,10.510
G180,9/19/2006,16:00,14,14.480
G180,9/19/2006,22:52,24.6,21.200
G180,9/20/2006,8:52,5.1,23.610
G180,9/20/2006,13:41,2.6,18.960
G180,9/21/2006,12:40,5.5,26.250
G181,9/18/2006,11:12,0,NA
G181,9/18/2006,14:00,0,0.000
G181,9/19/2006,9:26,22.75,8.310
G181,9/19/2006,12:51,20,13.550
G181,9/19/2006,16:00,16.5,21.260
G181,9/19/2006,22:52,14.9,23.110
G181,9/20/2006,8:52,7,25.780
G181,9/20/2006,13:41,4,26.400
G181,9/21/2006,12:40,3,27.130
G182,9/18/2006,11:12,0,NA
G182,9/18/2006,14:00,0,0.000
G182,9/19/2006,9:26,21.9,7.500
G182,9/19/2006,12:51,19.2,11.820
G182,9/19/2006,16:00,16.6,17.210
G182,9/19/2006,22:52,17.5,21.080
G182,9/20/2006,8:52,6.3,22.860
G182,9/20/2006,13:41,4.4,22.000
G182,9/21/2006,12:40,1.5,26.490
G183,9/18/2006,11:12,0,NA
G183,9/18/2006,14:00,0,NA
G183,9/19/2006,9:26,25.2,NA
G183,9/19/2006,12:51,19.8,NA
G183,9/19/2006,16:00,17.3,NA
G183,9/19/2006,22:52,17.3,NA
G183,9/20/2006,8:52,6.6,NA
G183,9/20/2006,13:41,2.7,NA
G183,9/21/2006,12:40,2.8,NA
G184,9/18/2006,11:12,0,NA
G184,9/18/2006,14:00,0,NA
G184,9/19/2006,9:26,24.6,NA
G184,9/19/2006,12:51,21.2,NA
G184,9/19/2006,16:00,18.8,NA
G184,9/19/2006,22:52,15.1,NA
G184,9/20/2006,8:52,9,NA
G184,9/20/2006,13:41,2.4,NA
G184,9/21/2006,12:40,0,NA
G185,9/18/2006,11:12,0,NA
G185,9/18/2006,14:00,0,NA
G185,9/19/2006,9:26,19.6,NA
G185,9/19/2006,12:51,18.3,NA
G185,9/19/2006,16:00,16.3,NA
G185,9/19/2006,22:52,23,NA
G185,9/20/2006,8:52,5,NA
G185,9/20/2006,13:41,2.1,NA
G185,9/21/2006,12:40,6.2,NA
