NOM,pH,DOC,Hard,LC50
1,7.91,0.29,9.24,5.23
1,7.97,0.29,18.47,2.55
1,7.95,0.57,42.24,9.33
1,6.16,0.63,10.56,0.50
1,5.96,0.79,19.80,1.02
1,6.34,0.45,42.24,1.58
3,7.84,2.18,9.24,30.83
3,7.86,2.56,19.80,38.24
3,7.87,2.60,43.56,45.06
3,6.19,2.56,10.56,4.05
3,6.23,2.62,19.80,8.60
3,6.29,2.56,42.24,8.26
3,6.30,8.67,9.24,25.93
3,6.28,8.98,21.12,25.20
3,6.42,8.74,42.24,47.25
3,7.87,8.93,10.56,108.80
3,7.94,8.32,21.12,187.60
3,7.98,8.78,40.92,159.00
2,7.92,2.35,9.24,15.31
2,7.95,2.35,21.12,16.65
2,7.98,2.13,40.92,21.09
2,6.02,2.24,9.24,3.19
2,6.11,2.21,22.44,4.93
2,6.17,2.25,39.60,6.97
2,7.95,8.46,10.56,106.40
2,7.96,8.43,21.12,130.50
2,7.98,8.58,44.88,122.50
2,6.33,8.69,10.56,18.83
2,6.33,8.71,22.44,26.55
2,6.33,8.42,44.88,22.79
