"Measurement ID","Silage sample","Sample box","Sample thickness (m)","Temperature (degrees C)","Target rel. humidity (%)","Target air speed (m/s)","Head gap (m)","Wind speed (m/s)","Dry matter (%)","Initial ethanol concentration (mg/kg)","Dry matter density (kg/m3)","Gas porosity (L/L)","Ethanol emission 12 hr (g)","Fraction initial ethanol emitted 12 hr"
id,sample,box,thick.samp,temp.c,rh.tar,speed.tar,headspace,speed,dm,c.etoh.i,rho.d,por.g,emis.t,emis.n
124,C2009JUNE10B,B,0.15,20,70,0.5,0.01,0.56338796420018,35.07,2305.42540990099,226.022099009901,0.439515887896195,1.11675204485648,0.127894844820539
125,C2009JUNE10D,D,0.15,20,70,0.5,0.01,0.565898282169171,34.9,1972.89354455446,184.382574257426,0.540206967669174,1.54306071138677,0.206503168813896
126,C2009JUNE10A,A,0.15,20,70,0.5,0.01,0.57712990390021,34.89,2516.91163168317,235.225386138614,0.413227216014571,1.70867062850334,0.179241159547236
127,C2009JUNE16D,D,0.15,20,50,0.5,0.01,0.555459682609223,28.9,1537.70891089109,205.027854785479,0.366537704715094,0.798133752977504,0.13704049064937
128,C2009JUNE16A,A,0.15,20,95,0.5,0.01,0.536101365454942,32.4,3143.52285148515,231.141386138614,0.372409796213789,1.16952944395778,0.0982294917067824
129,C2009JUNE16B,B,0.15,20,95,0.5,0.01,0.560245980257414,34.77,2634.49650693069,223.262415841584,0.440856553478399,1.57868257540317,0.158213867506764
130,C2009JUNE16C,C,0.15,20,50,0.5,0.01,0.562349648607766,33.86,3269.29810165017,255.413914191419,0.340557900718153,1.45089979002511,0.117173729724582
131,C2009JUNE30B,B,0.15,5,70,0.5,0.01,0.520668086380962,35.1,3628.10281188119,255.500198019802,0.367868753318792,0.702801332333704,0.0511446662810087
132,C2009JUNE30D,D,0.15,20,70,0.05,0.088,0.0439689962892501,33.44,3482.17452145215,256.042244224422,0.329421066296469,0.41896635533385,0.031766983229769
133,C2009JUNE30C,C,0.15,20,70,5,0.01,5.01408956840702,35.8,3367.46851485148,287.817821782178,0.303041353589041,4.47411943288331,0.350793378954332
135,C2009JULY06C,C,0.15,35,70,5,0.01,5.07209899585629,32.68,3440.3260620462,291.55305610561,0.213593070677113,6.52502450061393,0.500760310205023
136,C2009JULY06D,D,0.15,35,70,0.05,0.088,0.0420380945752457,32.04,3764.47794059406,259.619168316832,0.283764748637684,1.02026619555526,0.0715576548989988
137,C2009JULY06B,B,0.15,5,70,0.05,0.088,0.0446265254897694,32.02,3562.09501782178,269.855683168317,0.258395676270805,0.21551655348938,0.0159743241105411
138,C2009JULY13A,A,0.15,20,70,0.5,0.1,0.508601122959816,32.87,3079.25292145215,287.780646864687,0.231347277259643,0.925088715166766,0.0793204883843709
140,C2009JULY13C,C,0.15,5,70,0.5,0.1,0.487025006953916,33.49,3036.09950363036,283.747617161716,0.259117161060612,0.319541487303264,0.0277880844439121
141,C2009JULY13B,B,0.15,5,70,0.5,0.01,0.516856997435958,32.93,3198.44851485149,293.435643564356,0.218920123899787,0.339383004189161,0.0280154810362706
142,"C 2009JULY16A",A,0.15,20,70,0.5,0.01,0.561333961128066,33.5,3070.11247524752,300.991419141914,0.213313436108296,0.579264547042904,0.0498161340230537
143,C2009JULY16D,D,0.15,35,70,0.05,0.1,0.0520159550463698,33.42,3459.84134653465,290.74297029703,0.235595379177233,0.999293112275678,0.0762577642126857
144,C2009JULY16C,C,0.15,5,70,0.05,0.1,0.047449967154766,33.45,3372.28725148515,278.701425742574,0.27129788654551,0.22835541437075,0.0178786248274619
145,C2009JULY20A,A,0.15,20,70,0.5,0.01,0.581714792162268,32.57,3168.97715643564,268.557386138614,0.27515282501445,0.78470789538149,0.0653786987136319
146,C2009JULY20B,B,0.15,35,70,0.5,0.01,0.571588777724108,32.89,3930.37019669967,288.997808580858,0.226165488462741,0.844097493958488,0.0567030619646619
156,C2009AUG06A,A,0.15,20,70,5,0.01,5.02729046419645,32.76,2542.72091881188,273.410851485148,0.266930539250921,4.46843485712813,0.463985163307333
159,C2009AUG06D,D,0.15,5,70,5,0.01,4.87961454280482,34.86,2379.81281584158,273.541702970297,0.317866753439006,1.81089072493317,0.200907802704493
164,C2009AUG10A,A,0.15,35,70,5,0.01,5.0421247383872,34.68,2723.536,286.688,0.277609950517888,4.9155582058178,0.476526526563595
166,C2009AUG10B,B,0.15,5,70,5,0.01,4.95318562384051,34.41,2544.35035247525,302.898851485149,0.233294898361868,0.955171040796729,0.0991177860243877
167,C2009AUG10D,D,0.15,20,70,0.05,0.1,0.0467265646850353,31.81,2819.4536290429,265.986191419142,0.26254590213143,0.351648276881083,0.0329299367023379
170,C2009AUG13A,A,0.15,35,70,0.5,0.01,0.558915371541693,35.18,2690.82647656766,305.775735973597,0.242119445795513,0.813750941545842,0.0798460010753035
