test,n.doc,n.ph,rep,dom.source,ph,doc,lc50
2,2,6,1,1,6.25,2.09,9.27
3,2,6,1,2,6.22,2.1,6.06
4,2,6,1,3,6.19,2.09,7.88
5,2,6,1,4,6.23,2.16,8.28
6,2,6,1,5,6.22,2.27,9.03
7,2,6,1,6,6.22,2.17,5.42
8,2,6,1,7,6.25,2.18,9
26,7,6,1,1,6.29,6.57,28.2
27,7,6,1,2,6.2,6.58,30.64
28,7,6,1,3,6.22,6.53,33.72
29,7,6,1,4,6.21,7.02,28.51
30,7,6,1,5,6.2,7.17,33.93
31,7,6,1,6,6.19,6.81,31.28
32,7,6,1,7,6.22,6.83,34.54
50,15,6,1,1,6.2,14.65,56.87
51,15,6,1,2,6,14.63,38.95
52,15,6,1,3,5.97,14.33,59.94
53,15,6,1,4,5.95,15.3,47.96
54,15,6,1,5,5.86,15.46,46.77
55,15,6,1,6,5.89,14.33,42.87
56,15,6,1,7,5.9,14.16,40.19
74,2,6,2,1,6.22,2.03,7.02
75,2,6,2,2,6.24,2.09,6.15
76,2,6,2,3,6.26,2.03,8.26
77,2,6,2,4,6.22,2.21,6.82
78,2,6,2,5,6.21,2.12,5.91
79,2,6,2,6,6.2,2.07,5.56
80,2,6,2,7,6.2,2.04,5.64
98,7,6,2,1,6.34,6.32,26.81
99,7,6,2,2,6.14,6.38,14.32
100,7,6,2,3,6.18,6.33,19.35
101,7,6,2,4,6.17,6.66,22.71
102,7,6,2,5,6.12,6.66,14.77
103,7,6,2,6,6.13,6.49,16.01
104,7,6,2,7,6.11,6.52,16.32
122,15,6,2,1,6.41,13.47,66.53
123,15,6,2,2,6.12,13.94,60.4
124,15,6,2,3,6.19,13.8,53.99
125,15,6,2,4,6.18,14.82,63.93
126,15,6,2,5,6.08,14.21,58.47
127,15,6,2,6,6.01,13.69,43.09
128,15,6,2,7,5.92,13.69,45.47
10,2,7,1,1,7.18,2.08,27.3
11,2,7,1,2,7.16,2.08,17.36
12,2,7,1,3,7.17,2,17.45
13,2,7,1,4,7.19,2.17,23.85
14,2,7,1,5,7.17,2.2,20.63
15,2,7,1,6,7.19,2.24,22.83
16,2,7,1,7,7.2,2.22,20.31
34,7,7,1,1,7.3,6.6,112.75
35,7,7,1,2,7.34,6.68,95.31
36,7,7,1,3,7.27,6.61,70.42
37,7,7,1,4,7.28,7.1,102.07
38,7,7,1,5,7.3,6.78,82.92
39,7,7,1,6,7.33,6.58,125.97
40,7,7,1,7,7.36,6.7,103.41
58,15,7,1,1,7.36,15.39,250.37
59,15,7,1,2,7.37,15.64,221.45
60,15,7,1,3,7.31,15.1,236.1
61,15,7,1,4,7.35,15.86,245.5
62,15,7,1,5,7.37,16.13,229.78
63,15,7,1,6,7.4,14.5,298.3
64,15,7,1,7,7.43,14.59,290.89
82,2,7,2,1,7.16,2.23,17.93
83,2,7,2,2,7.18,2.14,17.09
84,2,7,2,3,7.19,2.16,19.77
85,2,7,2,4,7.18,2.21,20.9
86,2,7,2,5,7.19,2.24,20.55
87,2,7,2,6,7.2,2.25,21.82
88,2,7,2,7,7.21,2.24,20.65
106,7,7,2,1,7.32,6.67,56.11
107,7,7,2,2,7.32,8.25,55.38
108,7,7,2,3,7.33,6.75,68.84
109,7,7,2,4,7.32,7.18,65.17
110,7,7,2,5,7.32,8.28,67.9
111,7,7,2,6,7.31,8.24,82.65
112,7,7,2,7,7.31,6.84,60.24
130,15,7,2,1,7.21,14.38,129.21
131,15,7,2,2,7.16,14.89,139.53
132,15,7,2,3,7.15,15,126.12
133,15,7,2,4,7.16,15.51,150.96
134,15,7,2,5,7.13,15.32,125.7
135,15,7,2,6,7.1,14.53,125.84
136,15,7,2,7,7.15,14.85,133.26
18,2,8,1,1,7.95,2.38,121.47
19,2,8,1,2,7.95,2.42,64.47
20,2,8,1,3,7.95,2.33,58.92
21,2,8,1,4,7.97,2.43,86.84
22,2,8,1,5,7.97,2.45,77.28
23,2,8,1,6,7.96,2.39,97.5
24,2,8,1,7,7.97,2.44,91
42,7,8,1,1,8.39,6.7,574.82
43,7,8,1,2,8.4,6.83,239.74
44,7,8,1,3,8.3,6.84,192.96
45,7,8,1,4,8.29,7.01,258.53
46,7,8,1,5,8.33,7.04,301
47,7,8,1,6,8.33,6.84,377.26
48,7,8,1,7,8.33,6.84,361.79
66,15,8,1,1,8.06,15.01,551.02
67,15,8,1,2,8.06,15.5,380.46
68,15,8,1,3,8.08,15.34,367.84
69,15,8,1,4,8.1,16.08,388.43
70,15,8,1,5,8.09,15.91,402.84
71,15,8,1,6,8.09,15.83,530.79
72,15,8,1,7,8.09,15.73,483.71
90,2,8,2,1,8.03,2.12,114.64
91,2,8,2,2,8.03,2.13,54.95
92,2,8,2,3,8.02,2.14,61.65
93,2,8,2,4,8.03,2.26,54.29
94,2,8,2,5,8.03,2.25,55.64
95,2,8,2,6,8.03,2.22,72.62
96,2,8,2,7,8.03,2.18,80.24
114,7,8,2,1,7.86,6.46,234.92
115,7,8,2,2,7.87,6.7,153.5
116,7,8,2,3,7.87,6.61,132.61
117,7,8,2,4,7.87,6.96,178.24
118,7,8,2,5,7.87,6.92,166.73
119,7,8,2,6,7.86,6.66,180.09
120,7,8,2,7,7.85,6.79,178.36
138,15,8,2,1,8.04,14.65,474.75
139,15,8,2,2,8.05,15.32,426.83
140,15,8,2,3,8.06,14.14,355.58
141,15,8,2,4,8.07,14.95,379.18
142,15,8,2,5,8.07,15.37,350.86
143,15,8,2,6,8.08,14.32,415.75
144,15,8,2,7,8.08,14.6,475.01
