plot,trt,yr,yield,height
1,Control,2005,2.32,1.75
2,ManureL,2005,3.88,2
3,Urea,2005,1.88,1.58
4,ManureH,2005,3.63,1.89
5,ManureL,2005,4.76,2.04
6,SludgeManure,2005,3.07,1.87
7,ManureH,2005,8.97,1.94
8,Sludge,2005,3.51,1.77
9,SludgeManure,2005,5.68,2.19
10,Sludge,2005,3.17,1.85
11,Control,2005,4.19,2.08
12,Sludge,2005,4.51,2.13
13,Urea,2005,4.59,2.05
14,ManureH,2005,3.28,1.84
15,Sludge,2005,3.6,1.95
16,Urea,2005,4.45,1.92
17,Control,2005,3.87,1.88
18,Urea,2005,6.1,1.96
19,ManureL,2005,2.59,1.59
20,SludgeManure,2005,3.74,2.03
21,ManureH,2005,2.99,1.77
22,ManureL,2005,2.11,1.63
23,Control,2005,2.59,1.69
24,SludgeManure,2005,1.68,1.53
