samp,inject.date.time,id,date,xCH4
L1170217,"27-02-2017 09:35:30",L1,17022017,0.5556
L3170217,"27-02-2017 09:52:59",L3,17022017,0.5555
C4170217,"27-02-2017 10:11:20",C4,17022017,0.6174
B1170217,"27-02-2017 10:29:58",B1,17022017,0.5888
A3170217,"27-02-2017 10:48:49",A3,17022017,0.5778
I1170217,"27-02-2017 11:07:48",I1,17022017,0.6334
L2170217,"27-02-2017 11:27:15",L2,17022017,0.5565
B2170217,"27-02-2017 11:46:24",B2,17022017,0.5891
A2170217,"27-02-2017 12:05:41",A2,17022017,0.5771
C6170217,"27-02-2017 12:24:56",C6,17022017,0.6173
A1170217,"27-02-2017 12:44:19",A1,17022017,0.5813
C3170217,"27-02-2017 13:03:45",C3,17022017,0.637
E1170217,"27-02-2017 13:23:21",E1,17022017,0.6899
C1170217,"27-02-2017 13:42:36",C1,17022017,0.615
C2170217,"27-02-2017 14:02:09",C2,17022017,0.6361
I3170217,"27-02-2017 14:21:58",I3,17022017,0.6309
E3170217,"27-02-2017 14:41:49",E3,17022017,0.6931
B3170217,"27-02-2017 15:02:03",B3,17022017,0.5761
E2170217,"27-02-2017 15:22:31",E2,17022017,0.6948
I2170217,"27-02-2017 15:42:45",I2,17022017,-999
L2180117,"17-02-2017 09:54:11",L2,18012017,0.3255
L1180117,"17-02-2017 10:11:23",L1,18012017,0.343
L3180117,"17-02-2017 10:28:49",L3,18012017,0.3199
I3180117,"17-02-2017 10:46:34",I3,18012017,0.2609
I2180117,"17-02-2017 11:04:27",I2,18012017,0.2303
I1180117,"17-02-2017 11:22:20",I1,18012017,0.2744
A1180117,"17-02-2017 11:40:12",A1,18012017,0.547
C2180117,"17-02-2017 11:57:55",C2,18012017,0.6239
A3180117,"17-02-2017 12:15:42",A3,18012017,0.5691
B2180117,"17-02-2017 12:33:31",B2,18012017,0.474
B3180117,"17-02-2017 12:51:20",B3,18012017,0.5429
C3180117,"17-02-2017 13:09:08",C3,18012017,0.6482
A2180117,"17-02-2017 13:26:51",A2,18012017,0.5596
E1180117,"17-02-2017 13:44:37",E1,18012017,0.6168
B1180117,"17-02-2017 14:02:10",B1,18012017,0.4762
C1180117,"17-02-2017 14:19:52",C1,18012017,0.6354
E2180117,"17-02-2017 14:37:22",E2,18012017,0.5845
C6180117,"17-02-2017 14:54:58",C6,18012017,0.552
C5180117,"17-02-2017 15:12:34",C5,18012017,0.5518
C4180117,"17-02-2017 15:30:14",C4,18012017,0..5883
E3180117,"17-02-2017 15:47:48",E3,18012017,0.6225
E1310117,"20-02-2017 11:16:02",E1,1022017,0.7061
B3310117,"20-02-2017 11:33:16",B3,1022017,0.5661
I2310117,"20-02-2017 11:51:05",I2,1022017,0.6095
B1310117,"20-02-2017 12:09:09",B1,1022017,0.5908
L1310117,"20-02-2017 12:27:14",L1,1022017,0.5341
E2310117,"20-02-2017 12:45:17",E2,1022017,0.71
C3310117,"20-02-2017 13:03:21",C3,1022017,0.62
L2310117,"20-02-2017 13:21:26",L2,1022017,0.5378
